variant,seed,cal_net_saved,test_net_saved,test_activations,test_unsafe
A,42,155.6,46.9,83,0
A,137,157.7,40.1,77,0
A,271,153.5,48.3,81,0
A,512,152.1,57.9,83,0
A,1337,152.8,49.0,80,0
A,2027,150.0,49.0,80,0
A,4099,153.5,48.3,81,0
A,8191,154.2,50.4,78,0
A,16381,153.5,57.9,83,0
A,65537,152.8,59.3,81,0
B,42,155.6,47.6,82,0
B,137,157.7,40.8,76,0
B,271,154.9,48.3,81,0
B,512,153.5,57.9,83,0
B,1337,153.5,48.3,81,0
B,2027,150.0,49.0,80,0
B,4099,156.3,48.3,81,0
B,8191,154.2,50.4,78,0
B,16381,153.5,57.9,83,0
B,65537,153.0,59.3,81,0
C,42,130.4,54.2,104,0
C,137,130.4,63.8,106,0
C,271,130.4,54.2,104,0
C,512,130.4,63.8,106,0
C,1337,130.4,64.5,105,0
C,2027,130.4,54.2,104,0
C,4099,130.4,63.8,106,0
C,8191,130.4,53.5,105,0
C,16381,130.4,54.2,104,0
C,65537,130.4,54.2,104,0
D,42,137.2,81.8,96,0
D,137,137.2,82.5,95,0
D,271,138.6,82.5,95,0
D,512,139.3,82.5,95,0
D,1337,144.3,81.1,97,0
D,2027,131.6,82.5,95,0
D,4099,135.9,82.5,95,0
D,8191,135.9,81.1,97,0
D,16381,135.2,81.8,96,0
D,65537,134.4,81.8,96,0
